Study name,Accession,Primary GPA,DAC,External Data Source,PI,Registration Status��
Thyroid Hormone Nuclear Receptors in Health and Disease,,Kathleen Calzone,,,Sheue-Yann Cheng,Incomplete
Prostate Cancer Imaging,,Kathleen Calzone,,,Peter Choyke,Incomplete
18F-DCFPyL/18F NaF-PET-MetPCa,,Kathleen Calzone,NCI DAC,,Peter Choyke,Incomplete
MRI & Molecular signature,,Kathleen Calzone,,,Peter Choyke,Incomplete
"A Phase I Trial of Highly Conformal, Hypofractionated, Focally Dose Escalated Post-Prostatectomy Radiotherapy",,Kathleen Calzone,,,Deborah Citrin,Incomplete
SBRT for Recurrent Prostate CA,,Kathleen Calzone,,,Deborah Citrin,Incomplete
Ruxolitinib for ATL,,Kathleen Calzone,,,Kevin Conlon,Incomplete
Nivolumab for ATLL,,Kathleen Calzone,,,Kevin Conlon,Incomplete
Anakinra in Pustular Dermatoses,,Kathleen Calzone,,,Edward Cowen,Incomplete
ART-P for mCRPC,,Kathleen Calzone,,,William Dahut,Incomplete
Exceptional Responders,,Kathleen Calzone,,,William Dahut,Incomplete
Phase I/II XL184 in mCRPC,,Kathleen Calzone,,,William Dahut,Incomplete
AMG386 and abiraterone in CRPC,,Kathleen Calzone,,,William Dahut,Incomplete
Genome wide profiling of histone variants in tumors,,Kathleen Calzone,,,Yamini Dalal,Incomplete
HIGH RISK BRST DUCT EPITHELIUM,,Kathleen Calzone,,,David Danforth,Incomplete
Profiling of Gastric Tumors,,Kathleen Calzone,,,Jeremy Davis,Incomplete
Hereditary Gastric Cancer,,Kathleen Calzone,,,Jeremy Davis,Incomplete
ACC Natural History Study,,Kathleen Calzone,,,Jeremy Davis,Incomplete
Surg Onc Tissue Procurement,,Kathleen Calzone,,,Jeremy Davis,Incomplete
BRCA1 and BRCA2 Mutations and Triple Negative Disease in Hispanic/Latino Breast Cancer Subjects,,Kathleen Calzone,,,Michael Dean,Incomplete
Tissue Procurement Protocol - Doroshow,,Kathleen Calzone,,,James Doroshow,Incomplete
MDR Analysis on non-NCI Samples,,Kathleen Calzone,,,William Figg,Incomplete
Blood Prostate Cancer,,Kathleen Calzone,,,William Figg,Incomplete
Collection of Tissue Blocks or Slides from Patients with Cancer,,Kathleen Calzone,,,William Figg,Incomplete
DMET genotyping of cancer pts,,Kathleen Calzone,,,William Figg,Incomplete
Patient Samples - Figg,,Kathleen Calzone,,,William Figg,Incomplete
Molecular linkages between epigenetic regulation and metabolism in breast cancer,,Kathleen Calzone,,,Kevin Gardner,Incomplete
Mechanisms of Transcriptional Control by p300,,Kathleen Calzone,,,Kevin Gardner,Incomplete
Programming T Cell Fates for Therapeutic Use,,Kathleen Calzone,,,Luca Gattinoni,Incomplete
"Phase II Clinical Trial of Marizomib for Recurrent Low-Grade and Anaplastic Supratentorial, Infratentorial and Spinal Cord Ependymoma",,Kathleen Calzone,,,Mark Gilbert,Incomplete
Nivolumab Rare CNS Cancers,,Kathleen Calzone,,,Mark Gilbert,Incomplete
Natural History Banking,,Kathleen Calzone,,,Mark Gilbert,Incomplete
Lacosamide seizure prophylaxis,,Kathleen Calzone,,,Mark Gilbert,Incomplete
Ph II Recurrent Ependymoma,,Kathleen Calzone,,,Mark Gilbert,Incomplete
NOB Natural History Study,,Kathleen Calzone,,,Mark Gilbert,Incomplete
PH I/II Bev Vorinostat GBM,,Kathleen Calzone,,,Mark Gilbert,Incomplete
"A randomized, double blind phase II trial of Surgery, Radiation Therapy plus Temozolomide and Pembrolizumab with and without HSPPC-96 in newly diagnosed Glioblastoma (GBM)",,Kathleen Calzone,,,Mark Gilbert,Incomplete
"Phase 1 Study of a Combination of the PARP Inhibitor, Niraparib and Temozolomide or Irinotecan in Patients with Previously Treated, Incurable Ewing Sarcoma",,Kathleen Calzone,,,John Glod,Incomplete
PhII SGI110 in Peds & Adults,,Kathleen Calzone,,,John Glod,Incomplete
Ph2.5 Saracatinib in Osteosarcoma of Lung,,Kathleen Calzone,,,John Glod,Incomplete
PhI niraparib/temozolomide,,Kathleen Calzone,,,John Glod,Incomplete
A Multicenter Phase II Study of Enhancement of Immune Reconstitution and Vaccine Responses with Administration of Glyco-recombinant Human IL-7 in Older Subjects Following Chemotherapy,,Kathleen Calzone,,,Ronald Gress,Incomplete
Immune Checkpoint Inhibition,,Kathleen Calzone,,,Tim Greten,Incomplete
Pexa-Vec in Colorectal Cancer,,Kathleen Calzone,,,Tim Greten,Incomplete
Gene Expression Studies in HCC,,Kathleen Calzone,,,Tim Greten,Incomplete
AMP224 SBRT Met Colorectal Ca,,Kathleen Calzone,,,Tim Greten,Incomplete
Gut Microbiota in HCC,,Kathleen Calzone,,,Tim Greten,Incomplete
TRC105 in HCC,,Kathleen Calzone,,,Tim Greten,Incomplete
Acquisition of Blood and Tumor Tissue Samples from Patients with Gastrointestinal Cancer,,Kathleen Calzone,,,Tim Greten,Incomplete
"Belinostat, CDDP, VP-16 in SCLC",,Kathleen Calzone,,,Tim Greten,Incomplete
Sorafenib and TRC105 in HCC,,Kathleen Calzone,,,Tim Greten,Incomplete
"antiPDL1, antiCTLA4 & Radiation",,Kathleen Calzone,,,Tim Greten,Incomplete
CAPOX Pembrolizumab in BTC,,Kathleen Calzone,,,Tim Greten,Incomplete
MK-3475 MSI Tumors,,Kathleen Calzone,,,Tim Greten,Incomplete
A Natural History Study of Children and Adults with Fibrolamellar Hepatocellular Carcinoma,,Kathleen Calzone,,,Tim Greten,Incomplete
"Phase II Study of Nivolumab (anti-PD1), Tadalafil and Oral Vancomycin in Patients with Refractory Primary Hepatocellular Carcinoma or Liver Dominant Metastatic Cancer from Colorectal or Pancreatic Cancers",,Kathleen Calzone,,,Tim Greten,Incomplete
Phase I MGAH22,,Kathleen Calzone,,,Udayan Guha,Incomplete
Natural history of lung cancer,,Kathleen Calzone,,,Udayan Guha,Incomplete
Ph I/II Neoadj PIN Prostate CA,,Kathleen Calzone,,,James Gulley,Incomplete
Ph Ib Avelumab with NHS-IL12,,Kathleen Calzone,,,James Gulley,Incomplete
MSB0011359C in solid tumors,,Kathleen Calzone,,,James Gulley,Incomplete
Crolibulin & cisplatin in ATC,,Kathleen Calzone,,,James Gulley,Incomplete
Biospecimen Acquisition,,Kathleen Calzone,,,James Gulley,Incomplete
Avelumab in solid tumors,,Kathleen Calzone,,,James Gulley,Incomplete
Function of Steroid Receptors in Subcellular Compartments,,Kathleen Calzone,,,Gordon Hager,Incomplete
Chromatin Structure and Gene Expression,,Kathleen Calzone,,,Gordon Hager,Incomplete
"DNA repair, p53 and apoptosis in lung cancer",,Kathleen Calzone,,,Curtis Harris,Incomplete
Molecular characterization of Ulcerative Colitis and Crohn's disease,,Kathleen Calzone,,,Curtis Harris,Incomplete
A Phase 2 Single-arm Study to Evaluate Safety and Efficacy of CRS- 207 with Pembrolizumab in Adults with Previously-Treated Malignant Pleural Mesothelioma,,Kathleen Calzone,,,Raffit Hassan,Incomplete
LMB-100 in Mesothelioma,,Kathleen Calzone,,,Raffit Hassan,Incomplete
CRS-207 in mesothelioma pts,,Kathleen Calzone,,,Raffit Hassan,Incomplete
Phase 2 Amatuximab,,Kathleen Calzone,,,Raffit Hassan,Incomplete
Tissue Procurement Protocol - Hassan,,Kathleen Calzone,,,Raffit Hassan,Incomplete
Ph 2 Olaparib in Mesothelioma,,Kathleen Calzone,,,Raffit Hassan,Incomplete
"An open-label, first-in-human, multi-center study to evaluate the safety, tolerability, pharmacokinetics and anti-tumor activity of a thorium-227 labeled antibody-chelator conjugate, BAY 2287411/18795 Injection, in patients with solid tumor",,Kathleen Calzone,,,Raffit Hassan,Incomplete
Long term follow-up of mesothelioma patients and their family members with germline mutations in BAP1 and other genes,,Kathleen Calzone,,,Raffit Hassan,Incomplete
"Perioperative MVT-5873, a fully human monoclonal antibody against a CA 19-9 epitope, for operable CA 19-9 producing pancreatic cancers, cholangiocarcinomas, and metastatic colorectal cancers.",,Kathleen Calzone,,,Jonathan Hernandez,Incomplete
Hepatic Artery Infusion Pump,,Kathleen Calzone,,,Jonathan Hernandez,Incomplete
Tumor infiltrating lymphocyte therapy for human papillomavirus-positive cancers,,Kathleen Calzone,,,Christian Hinrichs,Incomplete
HPV-16 E6 TCR,,Kathleen Calzone,,,Christian Hinrichs,Incomplete
ETIB Tissue Procurement,,Kathleen Calzone,,,Christian Hinrichs,Incomplete
Role of IKK alpha in lung cancer development,,Kathleen Calzone,,,Yinling Hu,Incomplete
"DNA Methylation in Gray Zone Lymphoma compared to Hodgkin Lymphoma, Primary Mediastinal Large Cell Lymphoma and Diffuse Large B-Cell Lymphoma.",,Kathleen Calzone,,,Elaine Jaffe,Incomplete
Lymphoma Disease Discovery and Definition,,Kathleen Calzone,,,Elaine Jaffe,Incomplete
T Cells Expressing a Fully-human Anti- CD19 Chimeric Antigen Receptor for Treating B-cell Malignancies�,,Kathleen Calzone,NCI DAC,,James Kochenderfer,Incomplete
A Phase I Clinical Trial of T-cells Targeting B-cell Maturation Antigen for Previously Treated Multiple Myeloma�,,Kathleen Calzone,,,James Kochenderfer,Incomplete
Phase II Trial of Allogeneic Hematopoietic Cell Transplantation for Disorders of T-cell Proliferation and/or Dysregulation,,Kathleen Calzone,,,Jennifer Kanakry,Incomplete
BMT for Primary Immunodeficiency,,Kathleen Calzone,,,Jennifer Kanakry,Incomplete
Biomarkers and Therapeutic Targets in Angiogenesis and Metastasis,,Kathleen Calzone,,,Rosandra Kaplan,Incomplete
Tumor Microenvironment in Cancer Progression,,Kathleen Calzone,,,Rosandra Kaplan,Incomplete
PhI/II PLX3397,,Kathleen Calzone,,,Rosandra Kaplan,Incomplete
"Carfilzomib, Lenalidomide, and Dexamethasone in High-Risk Smoldering Multiple Myeloma: a Clinical and Correlative Study",,Kathleen Calzone,,,Dickran Kazandjian,Incomplete
A Phase II Pilot Study of Avelumab in Combination with Hypofractionated Radiotherapy in Patients with Relapsed Refractory Multiple Myeloma,,Kathleen Calzone,,,Dickran Kazandjian,Incomplete
HIV genetics in blood of babies in South Africa who were infected in utero,,Kathleen Calzone,,,Mary Kearney,Incomplete
Investigating HIV genetics and Expression in vivo,,Kathleen Calzone,,,Mary Kearney,Incomplete
HIV genetics in blood and tissues,,Kathleen Calzone,,,Mary Kearney,Incomplete
Niclosamide for ACC,,Kathleen Calzone,,,Electron Kebebew,Incomplete
CUDC-907 for Thyroid Cancer,,Kathleen Calzone,,,Electron Kebebew,Incomplete
PANCREATIC LESIONS IN VHL,,Kathleen Calzone,,,Electron Kebebew,Incomplete
Oncogenomics,,Kathleen Calzone,,,Javed Khan,Incomplete
Identification of Novel Mutations In Pediatric Cancers,,Kathleen Calzone,,,Javed Khan,Incomplete
Comprehensive genomic analysis of pediatric normal and tumor tissues,,Kathleen Calzone,,,Javed Khan,Incomplete
Non-medullary thyroid cancer,,Kathleen Calzone,,,Joanna Klubo-Gwiezdzinska,Incomplete
T Cells Expressing a Fully-human Anti-CD30 Chimeric Antigen Receptor for Treating CD30-expressing Lymphomas,,Kathleen Calzone,,,James Kochenderfer,Incomplete
SLPI / PGRN in ovarian cancer,,Kathleen Calzone,,,Elise Kohn,Incomplete
Ovarian Cancer Proteomics,,Kathleen Calzone,,,Elise Kohn,Incomplete
Sequencing and Analysis of Human Skin Samples from Atopic Dermatitis Patients,,Kathleen Calzone,,,Heidi Kong,Incomplete
UVR/UVA Phototoxicity Testing,,Kathleen Calzone,,,Heidi Kong,Incomplete
Dermatology Biospecimens,,Kathleen Calzone,,,Heidi Kong,Incomplete
Treatment Effect on Microbiome,,Kathleen Calzone,,,Heidi Kong,Incomplete
DNA Repair in Human Cancer-Prone Genetic Diseases,,Kathleen Calzone,,,Kenneth Kraemer,Incomplete
Cancer In XP Heterozygotes,,Kathleen Calzone,,,Kenneth Kraemer,Incomplete
A Phase I study of Moxetumomab pasudotox (Lumoxiti�) and Rituximab (Rituxan�) for Relapsed Hairy Cell Leukemia,,Kathleen Calzone,,,Robert Kreitman,Incomplete
Development of Recombinant Toxins to Treat Hematologic Malignancies,,Kathleen Calzone,,,Robert Kreitman,Incomplete
Samples for HCL & toxin study,,Kathleen Calzone,,,Robert Kreitman,Incomplete
Long-Term Specimen Storage,,Kathleen Calzone,,,Jung-Min Lee,Incomplete
Phase I/II MEDI+O and MEDI+C,,Kathleen Calzone,,,Jung-Min Lee,Incomplete
LY Chk1/2 Inhibitor,,Kathleen Calzone,,,Jung-Min Lee,Incomplete
NRG-GY005 COCOS,,Kathleen Calzone,,,Jung-Min Lee,Incomplete
"BMN 673, PARPi after PARPi",,Kathleen Calzone,,,Jung-Min Lee,Incomplete
Cediranib & Olaparib combined,,Kathleen Calzone,,,Jung-Min Lee,Incomplete
Ph 1 PKPD 2281 and carboplatin,,Kathleen Calzone,,,Jung-Min Lee,Incomplete
Phase I AZD2281+carboplatin,,Kathleen Calzone,,,Jung-Min Lee,Incomplete
ETCTN 9825 Olaparib Cediranib,,Kathleen Calzone,,,Jung-Min Lee,Incomplete
"Phase IIB Study of Cediranib and Olaparib Combination in Women with Recurrent Platinum Resistant Epithelial Ovarian Cancer, Fallopian Tubal and/or Primary Peritoneal Cancer without Germline BRCA Mutation, who had Prior Bevacizumab",,Kathleen Calzone,,,Jung-Min Lee,Incomplete
BIRT HOGG-DUBE SYNDROME,,Kathleen Calzone,,,Jung-Min Lee,Incomplete
Inherited Urologic Cancer,,Kathleen Calzone,,,William Linehan,Incomplete
HLRCC,,Kathleen Calzone,,,William Linehan,Incomplete
VT-464 in prostate & breast ca,,Kathleen Calzone,,,Ravi Madan,Incomplete
Docetaxel & PROSTVAC in mCSPC,,Kathleen Calzone,,,Ravi Madan,Incomplete
Clinical Interventional Studies of HIV Reservoirs,,Kathleen Calzone,,,Frank Maldarelli,Incomplete
Oral cGVHD Natural History,,Kathleen Calzone,,,Jacqueline Mays,Incomplete
"Immunogenetics of HIV/AIDS, cancers and other diseases",,Kathleen Calzone,,,Daniel McVicar,Incomplete
Host genetic effects CMV LSOCA,,Kathleen Calzone,,,Daniel McVicar,Incomplete
Functional impact of long non-coding RNA expression on HIV control,,Kathleen Calzone,,,Daniel McVicar,Incomplete
Genetics of HLA/KIR and Dengue Fever,,Kathleen Calzone,,,Daniel McVicar,Incomplete
Pilot Study of Idiotype Vaccine and EPOCH-Rituximab Chemotherapy in Untreated Mantle Cell,,Kathleen Calzone,,,Christopher Melani,Incomplete
"Phase 1b Study of Venetoclax, Ibrutinib, Prednisone, Obinutuzumab, and Revlimid (ViPOR) in Relapsed/Refractory B-cell Lymphoma",,Kathleen Calzone,,,Christopher Melani,Incomplete
Assessment of Genomic Variation in Osteosarcoma,,Kathleen Calzone,,,Paul Meltzer,Incomplete
Genomic Variation in Osteosarcoma,,Kathleen Calzone,,,Paul Meltzer,Incomplete
A Phase 1 Study of Interleukin-15 in Combination with Avelumab (Bavencio) in Relapsed/Refractory Mature T-cell Malignancies,,Kathleen Calzone,,,Milos Miljkovic,Incomplete
Pilot Tral of Human IL-15 (rhIL-15) and obinutuzumab for refractory and relapsed chronic lymphocytic leukemia (CLL),,Kathleen Calzone,,,Milos Miljkovic,Incomplete
Relationship between DNA damage detection and signaling,,Kathleen Calzone,,,Andre Nussenzweig,Incomplete
DNA repair,,Kathleen Calzone,,,Andre Nussenzweig,Incomplete
Investigating the link between DNA damage (Commercial cell line),,Kathleen Calzone,,,Philipp Oberdoerffer,Incomplete
"Investigating the link between DNA damage, chromatin and nuclear dysfunction",,Kathleen Calzone,,,Philipp Oberdoerffer,Incomplete
Epigenetic regulation of alternative pre-mRNA splicing,,Kathleen Calzone,,,Shalini Oberdoerffer,Incomplete
LTFU Stem Cell Transplant,,Kathleen Calzone,,,Steven Pavletic,Incomplete
Palifermin dose escalation,,Kathleen Calzone,,,Steven Pavletic,Incomplete
Natural Hx of Chronic GVHD,,Kathleen Calzone,,,Steven Pavletic,Incomplete
"To identify susceptibility markers, genomic alterations, and mRNA and micro RNA expression profiles associated with pancreatic cancer development and progression",,Kathleen Calzone,,,Syed Perwez Hussain,Incomplete
Topical ruxolitinib in cGVHD,,Kathleen Calzone,,,Dominique Pichard,Incomplete
Prostate Ca Tissue Procurement,,Kathleen Calzone,,,Peter Pinto,Incomplete
Pilot Study of Avelumab in TET,,Kathleen Calzone,,,Arun Rajan,Incomplete
Ph 1 SNX-5422 + Everolimus,,Kathleen Calzone,,,Arun Rajan,Incomplete
PDX101 & chemo-thymoma/thymic,,Kathleen Calzone,,,Arun Rajan,Incomplete
A Phase I/II Hyperacute Lung,,Kathleen Calzone,,,Arun Rajan,Incomplete
Genotypes in lung cancer,,Kathleen Calzone,,,Arun Rajan,Incomplete
Pomalidomide doxorubicin in KS,,Kathleen Calzone,,,Ramya Ramaswami,Incomplete
"Molecular, Cellular and Genetic Analyses of Malignancies Associated with NF1",,Kathleen Calzone,,,Karlyne Reilly,Incomplete
iPSC derived T Cells,,Kathleen Calzone,,,Nicholas Restifo,Incomplete
Molecular alterations in inflammatory bowel disease associated intestinal tumorigenesis,,Kathleen Calzone,,,Thomas Ried,Incomplete
(1) Phenotypic and genomic characterization of newly established cell lines and corresponding primary tumors and (2) Tumor Heterogeneity in Response to Radiochemotherapy in Patients with Colorectal Cancer,,Kathleen Calzone,,,Thomas Ried,Incomplete
Genomic instability of recurring and non-recurring low-grade colorectal adneomas,,Kathleen Calzone,,,Thomas Ried,Incomplete
Detection of Genomic Aberrations in Breast Cancers with long-term follow-up using sequencing and Multiplex FISH,,Kathleen Calzone,,,Thomas Ried,Incomplete
gp120/gp140 comparative boost study,,Kathleen Calzone,,,Marjorie Guroff,Incomplete
Mucosal-Systemic Study,,Kathleen Calzone,,,Marjorie Guroff,Incomplete
A Phase 2 Study of Response-Adapted Therapy with Copanlisib and Rituxumab in Untreated Follicular Lymphoma,,Kathleen Calzone,,,Mark Roschewski,Incomplete
A Phase 1/2 Proof-of-Concept Study of the Combination of Acalabrutinib and Vistusertib in Subjects with Relapsed/Refractory B-cell Malignancies,,Kathleen Calzone,,,Mark Roschewski,Incomplete
Pembro in R/R GZL and DLBCL,,Kathleen Calzone,,,Mark Roschewski,Incomplete
Clonal evolution in FL,,Kathleen Calzone,,,Mark Roschewski,Incomplete
A Phase 1b/2 Trial of Hu5F9-G4 in Combination with Rituximab in Patients with Relapsed/Refractory B-cell Non-Hodgkin's Lymphoma,,Kathleen Calzone,,,Mark Roschewski,Incomplete
Phase 2 Trial of Nivolumab in Epstein-Barr Virus (EBV)-Positive Lymphoproliferative Disorders and EBV-Positive Non-Hodgkin Lymphomas,,Kathleen Calzone,,,Mark Roschewski,Incomplete
Natural History of MGUS/SMM,,Kathleen Calzone,,,Mark Roschewski,Incomplete
CRd in Newly Diagnosed MM,,Kathleen Calzone,,,Mark Roschewski,Incomplete
Revlimid maintenance for MM,,Kathleen Calzone,,,Mark Roschewski,Incomplete
Lymphoma Tissue,,Kathleen Calzone,,,Mark Roschewski,Incomplete
SHORT-COURSE THERAPY AIDS-NHL,,Kathleen Calzone,,,Mark Roschewski,Incomplete
DA-EPOCH-R in BL,,Kathleen Calzone,,,Mark Roschewski,Incomplete
A Phase 1/2 Proof-of-Concept Study of the Combination of ACP-196 and ACP-319 in Subjects with B-cell Malignancies,,Kathleen Calzone,,,Mark Roschewski,Incomplete
PRISM: A Platform Protocol for the Treatment of Relapsed/Refractory Agreessive non-Hodgkin's Lymphoma,,Kathleen Calzone,,,Mark Roschewski,Incomplete
Cell Harvest,,Kathleen Calzone,,,Mark Roschewski,Incomplete
A Phase 1B/II Single-arm Study of M7824 (MSB0011359C) in Combination with Gemcitabine in Adults with Previously Treated Advanced Adenocarcinoma of the Pancreas,,Kathleen Calzone,,,Mark Roschewski,Incomplete
